Row Labels,Sum of TOTAL
LYNCHBURG,803
MO,2
VA,801
JENISON,791
MI,791
DAYTON,784
OH,738
PA,13
TN,2
TX,31
NORTH KANSAS CITY,776
MO,776
SEYMOUR,757
IN,757
TISHOMINGO,737
OK,737
EL CAJON,727
CA,727
MERIDIAN,726
ID,722
MS,4
KNOXVILLE,725
TN,725
POST FALLS,675
ID,675
ABBEVILLE,663
MS,663
NEW BERLIN,661
WI,661
CAMILLA,631
GA,631
COLUMBIA,631
KY,4
MO,2
MS,592
SD,33
STUART,608
FL,608
FRIDAY HARBOR,589
WA,589
DALLAS,589
GA,589
BLUE RIDGE,563
GA,0
VA,563
RICHMOND,560
CA,10
IN,282
VA,268
ROANOKE,548
VA,548
OREM,542
UT,542
FREEDOM,535
WY,535
DES MOINES,524
IA,524
FORT WAYNE,519
IN,519
HYDE PARK,512
UT,512
STRATFORD,505
CT,505
EAST STROUDSBURG,502
PA,502
BIG TIMBER,493
MT,493
REDMOND,488
OR,488
NEWCASTLE,486
CA,484
OK,2
TROY,481
MI,481
STARBUCK,476
MN,476
ORLANDO,473
FL,468
OK,5
SURF CITY,462
NC,462
BRIDGEVILLE,457
PA,457
LAKEWOOD,456
WA,456
BALTIMORE,444
MD,444
TAMPA,432
FL,432
KENT,429
OH,2
WA,427
PEWAUKEE,428
WI,428
GILBERT,427
AZ,27
MN,400
MILWAUKIE,426
OR,426
BULLHEAD CITY,425
AZ,425
HUEYTOWN,424
AL,424
ELK GROVE VILLAGE,412
IL,412
JASPER,402
MN,401
MO,1
NORTH SALT LAKE,396
UT,396
CHARDON,385
OH,385
LONGMONT,383
CO,383
BENNET,382
NE,382
GLENDALE,358
AZ,356
CA,2
ROSEVILLE,335
CA,335
NICHOLASVILLE,331
KY,331
MINOT,313
ND,313
SAINT PETERSBURG,311
FL,311
RACINE,308
WI,308
CLARKSVILLE,306
TN,306
CHARLOTTE,304
NC,247
TN,9
VT,48
WESTMINSTER,302
CA,260
CO,42
FLORENCE,302
AZ,85
MA,193
MT,21
SC,3
OKEMOS,297
MI,297
BRADENTON,297
FL,297
KENMORE,291
NY,291
HOUSTON,289
TX,289
JACKSON,285
GA,2
MI,157
MS,58
SC,68
SPRINGVILLE,282
PA,282
ALPHARETTA,281
GA,281
ZEPHYR,278
TX,278
PORTLAND,276
OR,275
TX,1
CHANDLER,268
AZ,263
IN,5
ASHLAND,266
KY,230
VA,34
WI,2
SIERRA VISTA,264
AZ,264
RICHWOOD,261
TX,261
SOUTHPORT,248
CT,248
SUWANEE,226
GA,226
SAN ANTONIO,225
TX,225
MARIETTA,219
GA,216
NY,3
FORT MYERS,218
FL,218
YORKVILLE,215
NY,215
THOUSAND OAKS,209
CA,209
IRVING,207
TX,207
GRAND RAPIDS,205
MI,205
FORT WORTH,205
TX,205
QUAKERTOWN,204
PA,204
ALFORD,202
FL,202
MADISON,197
FL,192
OH,1
WI,4
RIGBY,197
ID,197
SAINT MARYS,195
PA,195
MOSELEY,195
VA,195
STERLING,194
VA,194
NORTHGLENN,191
CO,191
CANAL FULTON,184
OH,184
SCOTTSBORO,182
AL,182
LANCASTER,181
NY,6
OH,174
PA,1
WARREN,177
CT,130
OR,47
LONG GROVE,172
IA,172
CRESTVIEW,171
FL,171
CHIPPEWA FALLS,168
WI,168
OKLAHOMA CITY,164
OK,164
FREEPORT,163
FL,163
PORTER,161
TX,161
TALKING ROCK,157
GA,157
MINGUS,157
TX,157
AUSTIN,156
TX,156
MOORESVILLE,155
NC,155
ORISKANY,155
NY,155
PEVELY,153
MO,153
HUBBARD,152
OR,152
PERRYTON,150
TX,150
FORT OGLETHORPE,148
GA,148
LOMA,141
CO,141
TILLSON,140
NY,140
NEVADA,139
MO,139
FREDERICKSBURG,139
IA,79
TX,24
VA,36
VERSAILLES,137
MO,137
DECATUR,133
IL,13
TX,120
ROBBINS,132
NC,132
NEW BRAUNFELS,132
TX,132
YUMA,130
AZ,130
WEISER,130
ID,130
SCOTTSDALE,129
AZ,129
WARRENTON,126
GA,38
VA,88
OTTAWA LAKE,124
MI,124
JACKSONVILLE,123
FL,112
NC,10
TX,1
BLOOMFIELD,120
CT,20
NY,100
RIVERBANK,118
CA,118
FAYETTEVILLE,118
AR,10
GA,3
NC,105
HUDSON,116
IL,95
MA,15
MI,6
SPARKS,115
NV,115
BOYNTON BEACH,115
FL,115
SANDY,114
OR,3
UT,111
FORNEY,113
TX,113
DEBARY,113
FL,113
NEW BREMEN,112
OH,112
TALENT,110
OR,110
FREDERICK,109
CO,109
MOUNT STERLING,108
KY,107
OH,1
FITZGERALD,108
GA,108
BAGDAD,108
KY,108
GLENROCK,105
WY,105
COLUMBUS,105
GA,86
NC,10
OH,9
BELTON,105
MO,5
SC,39
TX,61
FRIDLEY,104
MN,104
DENTON,104
MD,21
TX,83
BEACH CITY,103
TX,103
STRONGSVILLE,102
OH,102
LITTLE CANADA,102
MN,102
PATASKALA,101
OH,101
PAYSON,100
AZ,50
UT,50
MONTEBELLO,100
CA,100
HICKORY,100
NC,100
WYLIE,99
TX,99
IRVINE,99
CA,99
PLAINFIELD,97
IL,97
WHEAT RIDGE,96
CO,96
RANGELEY,96
ME,96
PINELLAS PARK,95
FL,95
FAIRBANKS,93
AK,93
ORANGE CITY,92
FL,85
IA,7
NILES,91
MI,91
HENRICO,91
VA,91
SAN JOSE,89
CA,89
HUNTINGTON BEACH,89
CA,89
WADESBORO,88
NC,88
FULLERTON,87
CA,87
SILVER CLIFF,85
CO,85
AMARILLO,84
TX,84
VALPARAISO,83
IN,83
INDIANAPOLIS,83
IN,83
MARIANNA,81
FL,81
BEAVERCREEK,81
OH,81
VENICE,80
FL,80
MILPITAS,80
CA,80
PORT CLINTON,79
OH,79
GREENWOOD VILLAGE,78
CO,78
BURLESON,78
TX,78
ST CLAIR,77
MI,77
NAPLES,77
FL,77
INDIAN TRAIL,75
NC,75
NORTH CHARLESTON,74
SC,74
MORGAN,74
TX,6
UT,68
AURORA,73
CO,73
WEST JORDAN,72
UT,72
PARKERSBURG,72
IA,72
GOODYEAR,72
AZ,72
FELTON,72
CA,72
FRESNO,71
CA,71
GILROY,70
CA,70
YOUNGSVILLE,69
LA,69
HOOKSETT,69
NH,69
ENNIS,69
TX,69
GRANVILLE,69
WV,69
BEAUFORT,69
SC,69
ALBUQUERQUE,68
NM,68
ANCHORAGE,67
AK,67
BAYTOWN,67
TX,67
ROCKAWAY,65
NJ,65
LITTLETON,65
CO,65
GLENNVILLE,64
GA,64
JEFFERSON,64
GA,64
COLORADO SPRINGS,64
CO,64
GALLATIN,63
TN,63
SEQUIM,62
WA,62
HAVELOCK,62
NC,62
ADGER,62
AL,62
DINGMANS FERRY,62
PA,62
BERLIN,62
MD,62
OSHKOSH,61
WI,61
LANDISVILLE,61
PA,61
LURAY,59
VA,59
PRINCETON,58
FL,8
LA,47
TX,3
PALMDALE,58
CA,58
FULTON,58
MS,58
ARTESIA,58
NM,58
WILLS POINT,57
TX,57
SHELDON,57
IA,57
FAIRMONT,57
WV,57
CAMAS,57
WA,57
CORNELIA,57
GA,57
SANTA PAULA,56
CA,56
SALEM,56
NH,0
OH,2
OR,54
MONROE,56
CT,49
GA,2
NC,2
WA,2
WI,1
COLLEGE STATION,56
TX,56
RAPID CITY,55
SD,55
PORTSMOUTH,55
NH,55
GARDENA,55
CA,55
WESTON,54
MO,23
WY,31
EASLEY,54
SC,54
DAHLONEGA,54
GA,54
SHELBY,53
MS,43
NC,8
OH,2
JOLIET,53
IL,53
BATON ROUGE,53
LA,53
ASHEBORO,53
NC,53
WACO,52
TX,52
SEMINOLE,51
FL,51
WEST RICHLAND,51
WA,51
RUTHER GLEN,50
VA,50
ST AUGUSTINE,50
FL,50
WALTON,50
KY,50
PORT ARTHUR,50
TX,50
MC MINNVILLE,50
TN,50
MIDLOTHIAN,50
TX,48
VA,2
LEAVENWORTH,50
KS,50
LA VERNIA,50
TX,50
BATESVILLE,50
AR,1
IN,49
TIGARD,49
OR,49
PASADENA,49
MD,41
TX,8
NEW RICHMOND,49
OH,49
KALAMAZOO,49
MI,49
CARTHAGE,49
NC,49
TUMWATER,48
WA,48
SULLIVAN,48
MO,48
WEST HALIFAX,48
VT,48
MCCARRAN,48
NV,48
POCATELLO,48
ID,48
GOLDSTON,48
NC,48
FLETCHER,48
NC,48
BOCA RATON,48
FL,48
YAKIMA,47
WA,47
RATHDRUM,47
ID,47
MISSOULA,47
MT,47
MCKINNEY,47
TX,47
POMPANO BEACH,47
FL,47
ERIE,47
CO,44
PA,3
CLEBURNE,47
TX,47
EAST TEMPLETON,47
MA,47
COLBERT,47
GA,47
NICEVILLE,46
FL,46
MECHANICSVILLE,46
MD,46
OGDEN,46
UT,46
HUMMELSTOWN,46
PA,46
HEGINS,46
PA,46
BLANCHARD,46
ID,46
ACKERLY,46
TX,46
BERTHOUD,46
CO,46
RISING FAWN,45
GA,45
RANSON,45
WV,45
HESPERIA,45
CA,45
SEABROOK,44
TX,44
RUSSELLVILLE,44
TN,44
PEORIA,44
AZ,44
MINOOKA,44
IL,44
MILLEN,44
GA,44
MOUNT,44
SC,44
LARGO,44
FL,44
SHEFFIELD,43
PA,43
WINDER,42
GA,42
TRENTON,42
GA,2
TX,40
STILWELL,42
OK,42
RINGGOLD,42
GA,42
PORT ANGELES,42
WA,42
ENUMCLAW,42
WA,42
FRANKLIN,42
GA,10
MA,22
OH,10
KEARNEYSVILLE,42
WV,42
HONOLULU,42
HI,42
ALMONT,42
MI,42
EAU CLAIRE,42
WI,42
WESTBORO,41
WI,41
WAPELLO,41
IA,41
HARNED,41
KY,41
GREER,41
SC,41
GAITHERSBURG,41
MD,41
KNIGHTDALE,41
NC,41
BOW,41
WA,41
COBLESKILL,41
NY,41
WISCONSIN DELLS,40
WI,40
SAINT CHARLES,40
MO,40
WAUCOMA,40
IA,40
MCMINNVILLE,40
OR,40
PHENIX CITY,40
AL,40
DIXON,40
CA,40
CEDAR RAPIDS,40
IA,40
ST HELENS,39
OR,39
WILDWOOD,39
FL,39
WELLINGTON,39
CO,28
FL,1
KS,10
MILLERSVILLE,39
MD,39
MOUNTAIN HOME,39
AR,39
HOMER,39
GA,38
MI,1
MARSHALL,38
MN,34
VA,4
NICHOLSON,38
PA,38
NORTH LAWRENCE,38
OH,38
KEYPORT,38
NJ,38
DITTMER,38
MO,38
BELLEFONTAINE,38
OH,38
ANDOVER,38
NJ,38
CLAXTON,38
GA,38
SHELBYVILLE,37
IN,37
MC HENRY,37
IL,37
QUITMAN,37
TX,37
NOKESVILLE,37
VA,37
LOWELL,37
OH,37
FREMONT,37
NE,37
INDIAN MOUND,37
TN,37
CLINTON,37
MA,27
MS,1
SC,9
BATH,37
MI,37
CHINO VALLEY,37
AZ,37
ORO VALLEY,36
AZ,36
CHEYENNE,36
WY,36
CAMARILLO,36
CA,36
SHAWNEE,35
KS,9
OK,26
RALSTON,35
NE,35
PARSONS,35
KS,35
OSAGE CITY,35
KS,35
HENEFER,35
UT,35
SILOAM SPRINGS,34
AR,34
TEHACHAPI,34
CA,34
TEMPE,34
AZ,34
LISBON,34
IA,34
VALLEJO,33
CA,33
MARION,33
IL,23
PA,10
HELOTES,33
TX,33
GARDNERVILLE,33
NV,33
HERMITAGE,33
PA,33
CHESTER,33
AR,33
UPLAND,32
CA,32
SAINT LOUIS,32
MO,32
RAINIER,32
OR,30
WA,2
MENOMONEE FALLS,32
WI,32
HUGO,32
OK,32
LEHI,32
UT,32
GRAY,32
GA,2
ME,30
DOERUN,32
GA,32
WEDOWEE,31
AL,31
RIVERSIDE,31
MO,31
WADSWORTH,31
OH,31
SNOWFLAKE,31
AZ,31
SHEPHERD,31
MT,31
READING,31
PA,31
PARKTON,31
MD,31
LUCEDALE,31
MS,31
LANDERS,31
CA,31
FORT SHAW,31
MT,31
LOUDON,31
TN,31
CRESWELL,31
OR,31
WOODBURY,30
MN,30
SPANISH FORK,30
UT,30
WOODLAND PARK,30
CO,30
WHITTIER,30
CA,30
MT PLEASANT,30
UT,30
PAUMA VALLEY,30
CA,30
HALLANDALE,30
FL,30
GOFFSTOWN,30
NH,30
DAVIE,30
FL,30
CONYERS,30
GA,30
BUFORD,30
GA,30
BELLINGHAM,30
WA,30
DUNCANNON,30
PA,30
OZAWKIE,29
KS,29
OVERLAND,29
KS,29
MARYSVILLE,29
CA,29
ELK,29
WA,29
WOFFORD HEIGHTS,28
CA,28
SAFETY HARBOR,28
FL,28
LIVERMORE,28
CA,25
CO,3
HOOVER,28
AL,28
HOPKINSVILLE,28
KY,28
SEARCY,27
AR,27
THOMASVILLE,27
NC,27
WINTER HAVEN,27
FL,27
YADKINVILLE,27
NC,27
PINCONNING,27
MI,27
EUGENE,27
OR,27
LAGRANGE,27
GA,26
OH,1
DEPUTY,27
IN,27
ATWATER,27
CA,27
APPLETON,27
WI,27
CAMINO,27
CA,27
ROCKY MOUNT,26
VA,26
WAUSAU,26
WI,26
MILFORD,26
IN,14
MI,1
PA,11
NORTHLAKE,26
TX,26
SAGINAW,25
MI,25
TULLAHOMA,25
TN,25
WINDSOR,25
CA,5
CO,16
VT,4
VERO BEACH,25
FL,25
NORTH LOGAN,25
UT,25
RED BLUFF,25
CA,25
MASON,25
NH,25
EPPING,25
NH,25
GREELEY,25
CO,25
LEE,25
NH,25
IRWINDALE,25
CA,25
KRUM,25
TX,25
ANTIOCH,25
IL,25
DICKINSON,25
TX,25
CREEDMOOR,25
NC,25
BARK RIVER,25
MI,25
CLEARWATER,25
FL,25
WARMINSTER,24
PA,24
SPOKANE,24
WA,24
STATESVILLE,24
NC,24
MINEOLA,24
TX,24
HURST,24
TX,24
LA MESA,24
CA,24
BLOSSBURG,24
PA,24
DEWITT,24
MI,24
BANCROFT,24
WI,24
CAPE GIRARDEAU,24
MO,24
TULSA,23
OK,23
WHITE HOUSE,23
TN,23
WYANDOTTE,23
OK,23
PANAMA CITY,23
FL,23
NORTH HIGHLANDS,23
CA,23
MANDEVILLE,23
LA,23
POLAND SPRING,23
ME,23
HARDY,23
VA,23
FOUNTAIN HILLS,23
AZ,23
FENNVILLE,23
MI,23
CLAIRTON,23
PA,23
COEUR D ALENE,23
ID,23
BEAUMONT,23
TX,23
ROCKWALL,22
TX,22
OTHELLO,22
WA,22
NASHVILLE,22
GA,22
FORT COLLINS,22
CO,22
LOS GATOS,22
CA,22
CARROLLTON,22
TX,22
CHINO,22
CA,22
BONNE TERRE,22
MO,22
CLOVIS,22
CA,22
WEST PALM BEACH,21
FL,21
TORRINGTON,21
CT,21
SAND SPRINGS,21
OK,21
PENSACOLA,21
FL,21
PORT SAINT LUCIE,21
FL,21
MYRTLE BEACH,21
SC,21
MERRITT ISLAND,21
FL,21
GOODING,21
ID,21
DURANGO,21
CO,21
DELHI,21
LA,21
BRYANT,21
AR,21
CYPRESS,21
TX,21
SAN PATRICIO,20
NM,20
TOLEDO,20
IL,20
ORMOND BEACH,20
FL,20
NORTH WALES,20
PA,20
OXFORD,20
MS,20
PULASKI,20
NY,19
VA,1
MOUNT DORA,20
FL,20
LUFKIN,20
TX,20
OKANOGAN,20
WA,20
MONCKS CORNER,20
SC,20
LAVONIA,20
GA,20
DRYDEN,20
MI,20
CRAWFORDSVILLE,20
IN,20
BEAVERTON,20
OR,20
BOSSIER CITY,20
LA,20
SHREVEPORT,19
LA,19
SPRINGTOWN,19
TX,19
WINTER GARDEN,19
FL,19
WILLARD,19
UT,19
REEDS SPRING,19
MO,19
MEQUON,19
WI,19
OREGON,19
OH,19
MAYBEE,19
MI,19
MCALESTER,19
OK,19
KAMAS,19
UT,19
ELMA,19
WA,19
KIMBALL,19
NE,19
CORPUS CHRISTI,19
TX,19
DENVER,19
CO,14
NC,5
BRANDON,19
MS,19
DESTIN,19
FL,19
ANTHEM,19
AZ,19
DETROIT,19
MI,19
DEMOREST,19
GA,19
ROCKVILLE,18
MD,18
WAUCONDA,18
IL,18
MANASSAS PARK,18
VA,18
LONGVIEW,18
TX,12
WA,6
KENOSHA,18
WI,18
FARMINGTON,18
AR,6
MO,7
NM,3
NY,2
ELLICOTT CITY,18
MD,18
SATANTA,17
KS,17
WATERTOWN,17
WI,17
MARYVILLE,17
TN,17
MADERA,17
CA,17
MAGNOLIA,17
AR,6
KY,2
TX,9
RALEIGH,17
NC,17
HARRISONBURG,17
VA,17
ROLAND,16
AR,16
WINTERSVILLE,16
OH,16
OMAHA,16
NE,16
REDLANDS,16
CA,16
KIMBOLTON,16
OH,16
HOLLAND,16
TX,16
GARFIELD,16
MN,16
JOPLIN,16
MO,16
JESUP,16
GA,16
CHAMBERSBURG,16
PA,16
BUCKEYE,16
AZ,16
VASSALBORO,15
ME,15
VICKSBURG,15
MS,15
MULBERRY,15
KS,15
MACON,15
GA,15
PRESCOTT VALLEY,15
AZ,15
MITCHELL,15
IN,15
NORTH FERRISBURGH,15
VT,15
MORRIS,15
AL,7
IL,1
PA,7
NACOGDOCHES,15
TX,15
PLEASANT GARDEN,15
NC,15
REDDING,15
CA,15
MANNING,15
IA,15
HARPER,15
KS,15
HUTTO,15
TX,15
KILLEEN,15
TX,15
GOLDEN,15
CO,15
BATAVIA,15
IL,12
OH,3
CHATSWORTH,15
GA,15
CASPER,15
WY,15
EL PASO,15
TX,15
CONROE,15
TX,15
BLOOMSBURG,15
PA,15
BLUFFTON,15
SC,15
TORRANCE,14
CA,14
WEST HAVEN,14
UT,14
WICHITA,14
KS,14
SHERMAN,14
TX,14
SHELTER ISLAND HEIGHTS,14
NY,14
WAKE VILLAGE,14
TX,14
ROSE HILL,14
NC,14
POCASSET,14
MA,14
PALMER,14
AK,1
MA,13
MORGANVILLE,14
KS,14
MONEE,14
IL,14
PIEDMONT,14
AL,6
SC,8
ORIENTAL,14
NC,14
JONESVILLE,14
NC,14
GRANDVIEW,14
TX,14
LANETT,14
AL,14
GILMANTON,14
NH,14
FENTON,14
MI,14
KAUKAUNA,14
WI,14
HINESBURG,14
VT,14
KEMAH,14
TX,14
CORVALLIS,14
MT,14
CELINA,14
OH,14
BONNERS FERRY,14
ID,14
CLEAR SPRING,14
MD,14
DORCHESTER,14
SC,14
AGAWAM,14
MA,14
BREWTON,14
AL,14
WHARTON,13
NJ,13
UMATILLA,13
FL,13
SUNMAN,13
IN,13
SLAYDEN,13
TN,13
STUTTGART,13
AR,13
ROSHARON,13
TX,13
NEW LONDON,13
WI,13
MAYSVILLE,13
NC,13
GARRISON,13
TX,13
GROVELAND,13
FL,13
FORTINE,13
MT,13
LEBANON,13
OR,12
TN,1
LAKELAND,13
FL,13
GALVESTON,13
TX,13
FRANKFORT,13
IN,3
KY,10
ELLIJAY,13
GA,13
KINGMAN,13
AZ,13
EDINBURG,13
TX,13
CADDO MILLS,13
TX,13
CORTLAND,13
NE,13
BENTON,13
AR,12
LA,1
CASHION COMMUNITY,13
TX,13
ROCK HILL,12
SC,12
SHILOH,12
GA,12
WHITE CITY,12
OR,12
WHITE ROCK,12
NM,12
WEATHERFORD,12
TX,12
SITKA,12
AK,12
SAN JUAN,12
PR,12
RINDGE,12
NH,12
WALES,12
WI,12
WILBER,12
NE,12
TEMPLE,12
TX,12
TENINO,12
WA,12
PELHAM,12
AL,12
MEXICO,12
MO,12
MC CALL,12
ID,12
FERN GLEN,12
PA,12
GARDEN PLAIN,12
KS,12
LAKE STEVENS,12
WA,12
FRISCO,12
TX,12
HORN LAKE,12
MS,12
HAVRE,12
MT,12
HOBSON,12
TX,12
KEY LARGO,12
FL,12
BRENTWOOD,12
CA,12
DEL RIO,12
TX,12
EAGLE,12
ID,12
CUMMING,12
GA,12
TANNERSVILLE,11
PA,11
SOUTH PITTSBURG,11
TN,11
RUSSELL,11
KY,11
WEATHERSFIELD,11
VT,11
LYNN HAVEN,11
FL,11
PAWLEYS ISLAND,11
SC,11
REYNOLDSVILLE,11
PA,11
NEEDVILLE,11
TX,11
PLAINS,11
KS,5
MT,6
PINE ISLAND,11
MN,9
NY,2
JORDAN,11
MT,11
JEMEZ SPRINGS,11
NM,11
FLAGSTAFF,11
AZ,11
GREENVILLE,11
MS,5
NC,5
SC,1
ELSIE,11
NE,11
FORT ATKINSON,11
WI,11
JOHNSTOWN,11
CO,5
PA,6
LARAMIE,11
WY,11
LAND O LAKES,11
FL,11
GLEN ROCK,11
PA,11
GONZALES,11
LA,11
FORT MOHAVE,11
AZ,11
LAKE VILLA,11
IL,11
ATHENS,11
AL,11
BAKER,11
FL,11
AMERICAN CANYON,11
CA,11
BLUE SPRINGS,11
MS,11
BOYD,11
TX,11
BLOSSOM,11
TX,11
BOMOSEEN,11
VT,11
ST GEORGE,10
UT,10
TUSCALOOSA,10
AL,10
WILMER,10
TX,10
SUGAR LAND,10
TX,10
SALE CREEK,10
TN,10
SULLIGENT,10
AL,10
PENDLETON,10
OR,10
RENO,10
NV,10
MYAKKA CITY,10
FL,10
OTTAWA,10
OH,10
MASON CITY,10
NE,10
LONGWOOD,10
FL,10
GLADSTONE,10
MO,10
KING GEORGE,10
VA,10
LAKE CORMORANT,10
MS,10
IOTA,10
LA,10
ELLISVILLE,10
MS,10
HIGHLAND,10
UT,10
EAST LEROY,10
MI,10
CEDAR CITY,10
UT,10
CAVE CREEK,10
AZ,10
BOHEMIA,10
NY,10
ALMA,10
CO,10
CRESAPTOWN,10
MD,10
BARNWELL,10
SC,10
BASIN,10
WY,10
DALTON,10
GA,10
TAZEWELL,9
TN,9
MOLINE,9
IL,9
MODESTO,9
CA,9
MILLERSBURG,9
OH,9
OXNARD,9
CA,9
NORTON SHORES,9
MI,9
PAHRUMP,9
NV,9
PELL CITY,9
AL,9
OPP,9
AL,9
MARK,9
IL,9
ETTERS,9
PA,9
KEMPNER,9
TX,9
CLEARFIELD,9
UT,9
AVELLA,9
PA,9
BUTTE,9
MT,9
COTTONDALE,9
FL,9
ALVARADO,9
TX,9
WHITEWRIGHT,8
TX,8
WHITE BIRD,8
ID,8
TERRE HAUTE,8
IN,8
VAN BUREN,8
AR,8
WASILLA,8
AK,8
WARSAW,8
MO,8
SCOTT,8
LA,8
WICKENBURG,8
AZ,8
WEST MANSFIELD,8
OH,8
WALWORTH,8
NY,8
SAINT JOSEPH,8
MO,8
SPRING BRANCH,8
TX,8
MELROSE,8
FL,2
MN,6
MILLBROOK,8
IL,8
MILROY,8
IN,8
RIDGECREST,8
CA,8
NEW MILFORD,8
CT,5
PA,3
